0,0,0,0,0,0,0,0,0,255,0,0
1,0,0,0,0,0,0,0,0,31,65,65
2,0,0,0,0,0,0,0,0,31,65,65
3,0,0,0,0,0,0,0,0,31,65,65
4,0,0,0,0,0,0,0,0,31,66,66
5,0,0,0,0,0,0,0,0,31,66,66
6,0,0,0,0,0,0,0,0,31,66,66
7,0,0,0,0,0,0,0,0,31,67,67
8,0,0,0,0,0,0,0,0,31,67,67
9,0,0,0,0,0,0,0,0,31,67,67
10,0,0,0,0,0,0,0,0,127,19,19
11,0,0,0,0,0,0,0,0,127,61,61
12,0,0,0,0,0,0,0,0,127,14,14
13,0,0,0,0,0,0,0,0,127,0,0
14,0,0,0,0,0,0,0,0,127,0,0
15,0,0,0,0,0,0,0,0,127,0,0
16,0,0,0,0,0,0,0,0,127,0,0
17,0,0,0,0,0,0,0,0,127,0,0
18,0,0,0,0,0,0,0,0,127,0,0
19,0,0,0,0,0,0,0,0,127,0,0
20,0,0,0,0,0,0,0,0,127,0,0
21,0,0,0,0,0,0,0,0,127,0,0
22,0,0,0,0,0,0,0,0,127,0,0
23,0,0,0,0,0,0,0,0,127,0,0
24,0,0,0,0,0,0,0,0,127,0,0
25,35,55,40,50,50,90,40,60,127,9,9
26,60,90,55,90,80,110,80,300,127,9,9
27,0,0,0,0,0,0,0,0,127,8,8
28,0,0,0,0,0,0,0,0,127,8,8
29,0,0,0,0,0,0,0,0,254,38,79
30,0,0,0,0,0,0,0,0,254,38,79
31,0,0,0,0,0,0,0,0,254,38,79
32,0,0,0,0,0,0,0,0,0,38,79
33,0,0,0,0,0,0,0,0,0,38,79
34,0,0,0,0,0,0,0,0,0,38,79
35,70,45,48,60,65,35,60,75,191,56,98
36,95,70,73,95,90,60,130,400,191,56,98
37,38,41,40,50,65,65,60,99,191,18,18
38,73,76,75,81,100,100,110,199,191,18,18
39,0,0,0,0,0,0,0,0,191,56,172
40,0,0,0,0,0,0,0,0,191,56,172
41,40,45,35,30,40,55,80,75,127,39,39
42,75,80,70,65,75,90,160,550,127,39,39
43,0,0,0,0,0,0,0,0,127,34,34
44,0,0,0,0,0,0,0,0,127,34,34
45,0,0,0,0,0,0,0,0,127,34,34
46,35,70,55,45,55,25,30,54,127,27,87
47,60,95,80,60,80,30,100,295,127,27,87
48,0,0,0,0,0,0,0,0,127,0,0
49,0,0,0,0,0,0,0,0,127,0,0
50,0,0,0,0,0,0,0,0,127,8,71
51,0,0,0,0,0,0,0,0,127,8,71
52,0,0,0,0,0,0,0,0,127,53,101
